product_name_alias;product_description;shelflife;CN_code;country_of_origin;product_group;list_of_product_segments;dairy;bakery_sweets;nutrition;savoury;single_ingredients;kosher;super_kosher;halal;vlog;bio;rspo_mb;rspo_sg;vegetarian;vegan;palmfree;clean;acid_stable;palm_fat;dairy_fat_fat;sunflower_fat;rapeseed_fat;hydrogenated_fat;non_hydrogenated_fat;fat_content_below_40_percent;fat_content_between_40_and_70_percent;fat_content_between_70_and_80_percent;protein_content_below_20_percent;protein_content_between_20_and_50_percent;protein_content_between_50_and_70_percent;protein_content_between_70_and_95_percent
Product 101;Casein;36 months;3501 1090;DE;Casein;dairy, bakery & sweets, nutrition, savoury, single ingredients;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 102;Casein;36 months;3501 1090;DE;Casein;dairy, bakery & sweets, nutrition, savoury, single ingredients;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 103;Casein;36 months;3501 1090;DE;Casein;dairy, bakery & sweets, nutrition, savoury, single ingredients;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 104;Casein;36 months;3501 1090;DE;Casein;dairy, bakery & sweets, nutrition, savoury, single ingredients;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 105;Hydrogenated dairy oil 40%, includes SWP and Lactose, milky taste, freeze and thaw stable;18 months;1901 9099;DE;Fat Powder;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 106;Hydrogenated dairy oil 60%, includes SWP and Lactose, milky taste, freeze and thaw stable, high whitening power ;18 months;2106 9092;DE;Fat Powder;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 107;Milk Protein Compound;24 months;2106 9098;DE;Milk Protein Compound;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 108;High protein ~74% + lactose, egg replacer in bakery applications;18 months;2106 9098;DE;Milk Protein Compound;bakery & sweets, savoury;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 109;Milk Protein Compound;18 months;3502 2091;DE;Milk Protein Compound;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 110;Buttermilkpowder;12 months;0403 9013;DE;Buttermilkpowder;dairy, bakery & sweets, single ingredients;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 111;Protein ~85%, stirred yoghurt;18 months;3504 0010;DE;Milk Protein Compound;dairy;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 112;Protein (only casein) ~86%, protein enrichment of vat milk > Cheese production;36 months;3501 9090;DE;Caseinate;dairy;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 113;High functional milk protein compound with whey protein and caseinate, customer exclusive product! low pH value (3,5-4), stabilization of fermented milk products and cream cheese;18 months;1901 9099;DE;;dairy;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 114;High functional milk protein compound with whey protein and caseinate, customer exclusive product! neutral pH value (6-7), stabilization of fermented milk products and cream cheese;18 months;1901 9099;DE;;dairy, bakery & sweets, savoury;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 115;High functional milk protein compound with whey protein and caseinate, customer exclusive product! low pH value (3,5-4), stabilization of fermented milk products and cream cheese;18 months;1901 9099;DE;;dairy;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 116;Protein min 22%, Customer exclusive product (similar to Tariprot 30 F), versatile stabilization compound for food and meat products, fast solubility, phospate included;18 months;1901 9099;DE;Compound based on Milk and/ or Whey;savoury;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
Product 117;Protein min 22%, Customer exclusive product (similar to Tariprot 30 F), versatile stabilization compound for food and meat products, fast solubility, phospate included;18 months;1901 9099;DE;Compound based on Milk and/ or Whey;savoury;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
Product 118;Protein 22-30%, suitable for many food product, good emulsifying properties;18 months;1901 9099;DE;Compound based on Milk and/ or Whey;dairy, bakery & sweets, savoury;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
Product 119;Protein min 25%, perfect for meat products, high emulsifying properties, flavour enhancer, reduction of costs;18 months;1901 9099;DE;Compound based on Milk and/ or Whey;savoury;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
Product 120;Customer exclusive product, good emulsifying properties, similar to SC 29;18 months;1901 9099;DE;Compound based on Milk and/ or Whey;bakery & sweets, savoury;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
Product 121;Partially hydrogenated sunflower oil 75%, includes Lactose, freeze and thaw stable, suitable for retorting processes (not lower then 5,5 pH!);18 months;2106 9092;DE;Fat Powder;bakery & sweets, nutrition, savoury;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
Product 122;Hydrogenated palmkernel oil, For milk application, lower content of anti-caking agent => low dust version;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 123;New Emulsifier! Acetem (E472a) on carrier End-application: RTE - desserts;12 months;2106 9092;DE;Baking Emulsifier;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 124;Hydrogenated dairy oil 40%, includes SWP and Lactose, milky taste, freeze and thaw stable;18 months;1901 9099;DE;Fat Powder;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 125;Fat Powder;24 months;2106 9098;DE;Fat Powder;bakery & sweets, savoury;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 126;NEW! Non-hydrogenated rapseed oil (high oleic) 50%, low content of TFA (trans fatty acids), high whitening power, cold soluble;12 months;2106 9098;DE;Fat Powder;bakery & sweets, nutrition, savoury;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 127;Hydrogenated dairy oil 60%, includes SWP and Lactose, milky taste, freeze and thaw stable, high whitening power ;18 months;2106 9092;DE;Fat Powder;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 128;Hydrogenated dairy oil 60%, includes Lactose, low content of free fat, freeze and thaw stable ;18 months;2106 9092;DE;Fat Powder;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 129;Non-hydrogenated palm oil 60%, includes lactose, freeze and thaw stable ;18 months;2106 9092;DE;Fat Powder;savoury;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 130;Non-hydrogenated palm oil 60%, Acid stable, low free fat content, vegetarian;18 months;2106 9098;DE;Fat Powder;savoury;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 131;Fat Powder;12 months;2106 9098;DE;Fat Powder;bakery & sweets, nutrition, savoury;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 132;Fat Powder;18 months;2106 9098;DE;Fat Powder;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
Product 133;Non-hydrogenated sunflower oil (high oleic) 72%, low TFA (trans fatty acids) content, high whitening power, cold soluble  ;15 months;2106 9098;DE;Fat Powder;bakery & sweets, nutrition, savoury;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
Product 134;Hydrogenated dairy fat, Palm free, Attention: Emulsifier based on palm ;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 135;Hydrogenated palmkernel oil, For milk application ;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 136;Hydrogenated palmkernel oil, For milk application, lower content of anti-caking agent => low dust version;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 137;Hydrogenated palmkernel oil, not recommended for milk applications;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 138;Hydrogenated palmkernel oil, functionality slightly better then HWP 007 and 009;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 139;Non-hydrogenated palmkernel oil, good functionality, suitable for recipes with lower pH level ;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 140;Hydrogenated palmkernel and dairy oil, low protein content, high volume but low stiffness ;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 141;Hydrogenated palmkernel and dairy oil, based on SMP, very creamy, milky taste;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 142;Non-hydrogenated palmkernel oil & hydrogenated dairy oil, very good functionality ;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 143;Non-hydrogenated palmkernel oil, advancement of HWP 017-1, high protein content, very good stability ;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 144;NEW! Non-Hydrogenated PKO, optimized HWP 011-9;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
