product_name;product_description;shelflife;sample_weights;CN_code;country_of_origin;product_group;product_group_new;product_family;product_family_internal;product_segment_text;common_applications;dairy;bakery & sweets;nutrition;savoury;single ingredients;kosher;super_kosher;halal;vlog;bio;rspo_mb;rspo_sg;vegetarian;vegan;palmfree;clean;acid_stable;palm_fat;dairy_fat_fat;"
sunflower_fat";rapeseed_fat;hydrogenated_fat;non_hydrogenated_fat;fat_content_lt_40;fat_content_gt_40_lt_70;70-80;0-20;20-50;50-70;70-95
COMBIMEC N ;High functional milk protein compound with whey protein and caseinate, customer exclusive product! neutral pH value (6-7), stabilization of fermented milk products and cream cheese;18 months;;1901 9099;DE;;;;;dairy,bakery & sweets,savoury;;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE; ; ; ; ;not vegetarian;not vegan;not palmfree;FALSE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
MTM® E 70 ;Protein ~71%, increase of dry matter, stirred yoghurt;18 months;;2106 9098;DE;Milk Protein Compound;;;;dairy;;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE; ; ; ; ;not vegetarian;not vegan;not palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
COMBIMEC A ;High functional milk protein compound with whey protein and caseinate, customer exclusive product! low pH value (3,5-4), stabilization of fermented milk products and cream cheese;18 months;;1901 9099;DE;;;;;dairy;;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE; ; ; ; ;not vegetarian;not vegan;not palmfree;FALSE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
COMBIMEC TA;High functional milk protein compound with whey protein and caseinate, customer exclusive product! low pH value (3,5-4), stabilization of fermented milk products and cream cheese;18 months;;1901 9099;DE;;;;;dairy;;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE; ; ; ; ;not vegetarian;not vegan;not palmfree;FALSE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Megglite® 60-02 H;Hydrogenated dairy fat >60%, low free fat content, without beta carotene, with lactose;18 months;;2106 9098;DE;Coffee Whitener;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;not vegetarian;not vegan;palmfree;FALSE; ;FALSE;TRUE; ;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
MTM® T 80 ;Protein ~70%, increase of dry matter, stirred yoghurt;18 months;;2106 9098;DE;Milk Protein Compound;;;;dairy;;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;not vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Megglite® 30-07 MB;Hydrogenated dairy fat >28%, low free fat content,with beta carotene;24 months;;2106 9098;DE;Coffee Whitener;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ;TRUE; ;vegetarian;not vegan;not palmfree;FALSE; ;FALSE;TRUE; ;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Megglite® 35-08 ;Hydrogenated dairy fat >32%, low free fat content, ideal for vending machines, longlasting foam, with beta carotene;24 months;;2106 9098;DE;Coffee Whitener;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;not palmfree;FALSE; ;FALSE;TRUE; ;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® HWP 041 SG;NEW! Non-Hydrogenated PKO, optimized HWP 011-9;18 months;;2106 9098;DE;Whipping Agents;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ;TRUE;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® HWP 014 MB ;Non-hydrogenated palmkernel oil, good functionality, suitable for recipes with lower pH level ;18 months;;2106 9098;DE;Whipping Agents;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ;TRUE; ;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® HWP 037;NEW! Non-Hydrogenated PKO, optimized HWP 011-9;18 months;;2106 9098;DE;Whipping Agents;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® F 60 C L;Hydrogenated dairy oil 60%, includes Lactose, low content of free fat, freeze and thaw stable ;18 months;;2106 9092;DE;Fat Powder;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;not palmfree;FALSE; ;FALSE;TRUE; ;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® HWP 007 SG;Hydrogenated palmkernel oil, For milk application, lower content of anti-caking agent => low dust version;18 months;;2106 9098;DE;Whipping Agents;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ;TRUE;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
EDIFETT HWP 007 MB;Hydrogenated palmkernel oil, For milk application, lower content of anti-caking agent => low dust version;18 months;;2106 9098;DE;Whipping Agents;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ;TRUE; ;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
