meggle´s_corresponding_product_family,protein_content_minimum%,certifications,fat_source,product_family,product_description,fat_content_maximum%,protein_content_maximum%,product_segment,product_name_alias,product_group,dietary_forms,product_features,fat_content_minimum%,common_applications,fat_type
P19,,"['kosher', 'halal']",,Creamer,,0.399,,"['bakery & sweets', 'savoury']",Product 19,Fatpowder,"['vegetarian', 'gluten free']","['palmfree', 'clean label']",0.0,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream', 'soups and sauces', 'dressings and mayonnaises']",
P52,,"['kosher', 'halal']",,Foamers,,0.399,,['bakery & sweets'],Product 52,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],
P53,,"['kosher', 'halal']",,Foamers,,0.399,,['bakery & sweets'],Product 53,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],
P80,,"['kosher', 'halal', 'rspo mb']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 80,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['hydrogenated']
P81,,"['kosher', 'halal', 'rspo mb']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 81,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['hydrogenated']
P82,,"['kosher', 'halal']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 82,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['hydrogenated']
P83,,"['kosher', 'halal']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 83,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['hydrogenated']
P84,,"['kosher', 'halal', 'rspo sg']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 84,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['non hydrogenated']
P85,,"['kosher', 'halal']",['palm'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 85,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['hydrogenated']
P86,,"['kosher', 'halal']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 86,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['hydrogenated']
P87,,"['kosher', 'halal', 'rspo sg']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 87,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['hydrogenated']
P88,,"['kosher', 'halal', 'rspo mb']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 88,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['hydrogenated']
P89,,"['kosher', 'halal']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 89,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['non hydrogenated']
P90,,"['kosher', 'halal', 'rspo sg']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 90,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['non hydrogenated']
P91,,"['kosher', 'halal']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 91,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['non hydrogenated']
P92,,"['kosher', 'halal']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 92,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['non hydrogenated']
P95,,"['kosher', 'halal']",['coconut'],Coffee Whiteners,,0.399,,['bakery & sweets'],Product 95,Fatpowder,"['vegetarian', 'gluten free']",,0.0,['hot beverages'],['hydrogenated']
P10,,"['kosher', 'halal']",['coconut'],Creamer,,0.699,,['bakery & sweets'],Product 10,Fatpowder,"['vegetarian', 'gluten free']",['palmfree'],0.4,"['cake filling & decoration creme', 'cold-cream and custard cream']",['hydrogenated']
P11,,"['kosher', 'halal']",['palm'],Creamer,,0.699,,"['bakery & sweets', 'savoury']",Product 11,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'soups and sauces', 'dressings and mayonnaises']",
P12,,"['kosher', 'halal']",['coconut'],Creamer,,0.699,,['bakery & sweets'],Product 12,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream']",['hydrogenated']
P13,,"['kosher', 'halal']",['coconut'],Creamer,,0.699,,['bakery & sweets'],Product 13,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream']",['hydrogenated']
P14,,"['kosher', 'halal']",['palm'],Creamer,,0.699,,"['bakery & sweets', 'savoury']",Product 14,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'soups and sauces', 'dressings and mayonnaises']",
